County,FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(Ü) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,Average Annual Count,Recent Trend,Recent 5-Year Trend (á) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval,Gastric/Female
"Luzerne County, Pennsylvania(6,10)",42079,***,4.8,3.6,6.3,13,stable,9.4,-9.5,32.4,
"Middlesex County, Connecticut(7,8)",9007,***,4.8,3.2,7.1,6,stable,-0.1,-2.7,2.6,
"Pierce County, Washington(7,8)",53053,***,4.8,3.9,5.8,21,stable,-0.8,-2.4,0.8,
"Union County, North Carolina(6,10)",37179,***,4.8,3.1,7.1,5,stable,3.5,-19.9,33.6,
"Jefferson County, Kentucky(7,8)",21111,***,4.8,3.9,5.8,23,stable,1.8,-1.3,4.9,
"Kent County, Delaware(6,10)",10001,***,4.8,3.1,7.1,5,stable,-7.1,-42.3,49.5,
"San Diego County, California(7,8)",6073,***,4.8,4.3,5.3,84,stable,-0.3,-1.7,1.1,
"Niagara County, New York(6,10)",36063,***,4.8,3.3,6.7,8,stable,-22.1,-52.6,28.1,
"Collin County, Texas(6,10)",48085,***,4.8,3.8,5.8,19,stable,-9.7,-30.2,16.9,
"Lafayette Parish, Louisiana(7,8)",22055,***,4.8,3.2,6.9,6,stable,-0.6,-5.6,4.7,
"Cobb County, Georgia(7,8)",13067,***,4.7,3.8,5.9,17,stable,1.3,-0.9,3.5,
"Monroe County, Pennsylvania(6,10)",42089,***,4.7,3,7.2,5,falling,-19.6,-31.6,-5.4,
"Hillsborough County, Florida(6,10)",12057,***,4.7,4,5.5,35,stable,0.9,-8,10.8,
"Weld County, Colorado(6,10)",8123,***,4.7,3.2,6.8,6,falling,-20.2,-29.9,-9.1,
"Lake County, Illinois(6,10)",17097,***,4.7,3.8,5.8,18,stable,4.2,-16.8,30.6,
"Bell County, Texas(6,10)",48027,***,4.7,3.2,6.6,7,stable,-15.8,-49.3,39.8,
"Peoria County, Illinois(6,10)",17143,***,4.7,3.1,6.9,6,stable,28.2,-29.6,133.4,
"Highlands County, Florida(6,10)",12055,***,4.7,2.4,8.5,4,stable,-25.1,-59.1,37.4,
"Tarrant County, Texas(6,10)",48439,***,4.7,4.1,5.4,43,stable,1,-13.8,18.3,
"New London County, Connecticut(7,8)",9011,***,4.7,3.3,6.5,8,stable,-0.8,-2.3,0.8,
"Cass County, North Dakota(6,10)",38017,***,4.7,2.7,7.6,3,*,*,*,*,
"Alamance County, North Carolina(6,10)",37001,***,4.7,3,7,5,stable,-8.7,-29.7,18.5,
"Sangamon County, Illinois(6,10)",17167,***,4.7,3.1,6.8,6,rising,30.1,7,58.2,
"Calcasieu Parish, Louisiana(7,8)",22019,***,4.7,3,7,5,stable,0.2,-5,5.7,
"Monmouth County, New Jersey(7,8)",34025,***,4.6,3.8,5.7,21,falling,-2.1,-3.3,-0.9,
"Fairfax County, Virginia(6,10)",51059,***,4.6,3.9,5.5,27,stable,3.1,-6.8,14.1,
"Riverside County, California(7,8)",6065,***,4.6,4.1,5.2,58,stable,1.3,-0.1,2.8,
"Allen County, Ohio(6,10)",39003,***,4.6,2.6,7.7,3,*,*,*,*,
"Yuma County, Arizona(6,10)",4027,***,4.6,2.9,6.9,5,stable,-5.8,-23.1,15.4,
"Mobile County, Alabama(6,10)",1097,***,4.6,3.5,6,12,stable,-15.2,-29.5,2,
"Flagler County, Florida(6,10)",12035,***,4.6,2.7,7.6,4,stable,-10.8,-20.5,0.1,
"Middlesex County, Massachusetts(6,10)",25017,***,4.6,4,5.3,45,stable,-1.7,-9.8,7.2,
"Buncombe County, North Carolina(6,10)",37021,***,4.6,3.3,6.3,8,stable,-0.1,-7.4,7.8,
"Marion County, Oregon(6,10)",41047,***,4.6,3.3,6.3,9,stable,16.6,-22.4,75.1,
"Rensselaer County, New York(6,10)",36083,***,4.5,2.8,7,5,stable,15.1,-65.7,286,
"Henderson County, North Carolina(6,10)",37089,***,4.5,2.7,7.3,4,stable,2.2,-23,35.5,
"LaPorte County, Indiana(6,10)",18091,***,4.5,2.6,7.5,3,*,*,*,*,
"Summit County, Ohio(6,10)",39153,***,4.5,3.6,5.7,17,stable,-3.1,-31.4,36.7,
"Placer County, California(7,8)",6061,***,4.5,3.4,6,11,stable,8.5,-1.9,20,
"Lehigh County, Pennsylvania(6,10)",42077,***,4.5,3.4,6,11,stable,19.8,-14.1,67.2,
"Snohomish County, Washington(7,8)",53061,***,4.5,3.6,5.6,19,stable,-1,-2.3,0.3,
"Kanawha County, West Virginia(6,10)",54039,***,4.5,3.1,6.5,7,stable,-15.9,-37.7,13.4,
"Adams County, Pennsylvania(6,10)",42001,***,4.5,2.6,7.5,3,*,*,*,*,
"Napa County, California(7,8)",6055,***,4.5,2.7,7.2,4,*,*,*,*,
"Lucas County, Ohio(6,10)",39095,***,4.5,3.4,5.9,12,stable,8,-28.1,62.3,
"Macon County, Illinois(6,10)",17115,***,4.5,2.5,7.6,3,*,*,*,*,
"Davidson County, North Carolina(6,10)",37057,***,4.5,2.8,6.9,5,stable,28.1,-36.6,158.5,
"Strafford County, New Hampshire(6,10)",33017,***,4.5,2.6,7.4,3,*,*,*,*,
"Anchorage Borough, Alaska(6,10)",2020,***,4.5,3,6.5,6,stable,20.3,-22.7,87.2,
"Coweta County, Georgia(7)",13077,***,4.5,2.5,7.4,3,*,*,*,*,
"Davis County, Utah(7,8)",49011,***,4.5,3,6.4,6,stable,0.2,-2.4,2.8,
"Horry County, South Carolina(6,10)",45051,***,4.5,3.3,6.1,9,stable,44,-8.2,126,
"Sullivan County, Tennessee(6,10)",47163,***,4.5,3,6.7,6,stable,-5.9,-38.4,43.7,
"Florence County, South Carolina(6,10)",45041,***,4.5,2.7,7.1,4,stable,-12.5,-53.1,63.4,
"Orleans Parish, Louisiana(7,8)",22071,***,4.5,3.3,6,10,stable,-2.7,-5.7,0.3,
"Orange County, Florida(6,10)",12095,***,4.5,3.7,5.3,27,stable,1.5,-11.1,15.9,
"Will County, Illinois(6,10)",17197,***,4.5,3.5,5.6,15,stable,-1.6,-25,29,
"Marion County, Indiana(6,10)",18097,***,4.5,3.7,5.4,22,stable,-6.1,-20.2,10.5,
"Licking County, Ohio(6,10)",39089,***,4.5,2.8,6.8,5,stable,13.3,-9.9,42.5,
"Richmond City, Virginia(6,10)",51760,***,4.5,2.9,6.6,6,stable,-3.5,-26.6,26.9,
"Rutherford County, Tennessee(6,10)",47149,***,4.5,2.9,6.5,6,stable,2.4,-59.5,159.4,
"Richland County, Ohio(6,10)",39139,***,4.5,2.7,7.1,4,stable,-13.1,-42.7,31.7,
"Benton County, Washington(6,10)",53005,***,4.4,2.8,6.8,4,stable,-9.9,-40.9,37.4,
