,data_provider_id,taxonomy_id,taxonomy_entry_code,data_provider_name,taxonomy_name,taxonomy_entry_category,taxonomy_entry_name,seg1,seg1_total,seg1_uu,seg1_pct,seg2,seg2_total,seg2_uu,seg2_pct,index
161658,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,pragmatic_buyers,16928,8069,0.48,status_conscious,12977,5969,0.46,104
162900,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,pragmatic_buyers,16928,10935,0.65,status_conscious,12977,8525,0.66,98
163405,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,pragmatic_buyers,16928,11952,0.71,status_conscious,12977,9542,0.74,96
163596,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,pragmatic_buyers,16928,12587,0.74,status_conscious,12977,10110,0.78,95
171785,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,random,14074,10651,0.76,big_life_events,18199,14217,0.78,97
172003,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,random,14074,10060,0.71,big_life_events,18199,13494,0.74,96
172390,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,random,14074,9117,0.65,big_life_events,18199,12361,0.68,95
173554,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,random,14074,6558,0.47,big_life_events,18199,9118,0.5,93
176388,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,random,14074,3240,0.23,big_life_events,18199,4824,0.27,87
178675,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,random,14074,1072,0.08,big_life_events,18199,1743,0.1,80
178798,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,random,14074,906,0.06,big_life_events,18199,1475,0.08,79
179227,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,random,14074,573,0.04,big_life_events,18199,948,0.05,78
185360,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,random,14074,906,0.06,parent_helpers,14273,673,0.05,137
185585,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,random,14074,573,0.04,parent_helpers,14273,440,0.03,132
186529,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,random,14074,1072,0.08,parent_helpers,14273,909,0.06,120
186761,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,random,14074,3240,0.23,parent_helpers,14273,2791,0.2,118
187743,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,random,14074,10060,0.71,parent_helpers,14273,9223,0.65,111
187759,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,random,14074,9117,0.65,parent_helpers,14273,8327,0.58,111
187763,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,random,14074,6558,0.47,parent_helpers,14273,5966,0.42,111
187860,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,random,14074,10651,0.76,parent_helpers,14273,9812,0.69,110
200362,11878,24667,14734672,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users,Social Media Users ALL,random,14074,10651,0.76,pragmatic_buyers,16928,12587,0.74,102
200818,11878,24667,14734659,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Facebook,Social Media Users Facebook,random,14074,10060,0.71,pragmatic_buyers,16928,11952,0.71,101
201026,11878,24667,14734667,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Twitter,Social Media Users Twitter,random,14074,9117,0.65,pragmatic_buyers,16928,10935,0.65,100
201907,11878,24667,14734671,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->YouTube,Social Media Users You Tube,random,14074,6558,0.47,pragmatic_buyers,16928,8069,0.48,98
204023,11878,24667,14734661,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Instagram,Social Media Users Instagram,random,14074,3240,0.23,pragmatic_buyers,16928,4227,0.25,92
205781,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,random,14074,906,0.06,pragmatic_buyers,16928,1243,0.07,88
206940,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,random,14074,1072,0.08,pragmatic_buyers,16928,1553,0.09,83
208558,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,random,14074,573,0.04,pragmatic_buyers,16928,926,0.05,74
214239,11878,24667,14734669,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Yelp,Social Media Users Yelp,random,14074,573,0.04,status_conscious,12977,470,0.04,112
215416,11878,24667,14734663,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Snapchat,Social Media Users Snapchat,random,14074,906,0.06,status_conscious,12977,793,0.06,105
216246,11878,24667,14734665,AmeribaseDigital,Ameribase Digital,Branded Data-->AmeribaseDigital-->Social Media Users-->Tinder,Social Media Users Tinder,random,14074,1072,0.08,status_conscious,12977,968,0.07,102
